order_id,customer_id,region,channel,product,qty,unit_price,revenue,order_date,notes
1000,5,Centro,WEB,CAFE PREMIUM,4,17500.0,70000.0,2025/02/01,
1001,10,Norte,WEB,cafe tradicional,6,18000.0,108000.0,2025/09/19,
1002,26,Norte, partner,CAFE PREMIUM,4,15500.0,62000.0,08-03-2025,
1003,39,Oeste,partner,Café Tradicional ,4,9900.0,39600.0,14/06/2025,
1004,5,Oeste, partner,Café Premium,7,,122500.0,2025/04/12,
1005,9,Centro,Retail ,CAFE PREMIUM,1,17500.0,17500.0,12-06-2025,
1006,34,Centro,  WEB  ,Café premium,3,9900.0,29700.0,2025-07-01,
1007,27,Norte,Retail ,Café Tradicional ,7,18000.0,126000.0,14-05-2025,
1008,21,Sur,  WEB  ,CAFE PREMIUM,1,9900.0,9900.0,2025-10-18,
1009,23,Norte,Retail ,CAFE PREMIUM,3,15500.0,46500.0,2025/07/26,
1010,47,Este,web,Café Tradicional ,5,18000.0,90000.0,05/02/2025,
1011,38,Centro,partner,Café Tradicional ,6,15500.0,93000.0,,
1012,12,Centro,WEB,Café Premium,6,12000.0,72000.0,2025-10-21,
1013,40,Centro,Retail ,Café Tradicional,4,18000.0,72000.0,2025/04/12,
1014,28,Este,WEB,Café Tradicional,1,12000.0,12000.0,2025-03-31,N/A
1015,22,Centro,WEB,CAFE PREMIUM,6,9900.0,59400.0,2025/01/29,
1016,29,Oeste,WEB,Café Tradicional,-1,9900.0,9900.0,18/10/2025,
1017,30,Norte,partner,CAFE PREMIUM,7,15500.0,108500.0,04/11/2025,
1018,49,Bogotá,web,Café premium,6,,72000.0,09/11/2025,
1019,45,Sur,partner,Café Tradicional,1,9900.0,9900.0,2025/07/04,
1020,49,Oeste,partner,CAFE PREMIUM,3,17500.0,52500.0,2025-04-28,
1021,17,Norte,web,café premium,6,18000.0,108000.0,09/12/2025,
1022,36,Norte, partner,Café Tradicional,7,12000.0,84000.0,2025/07/01,
1023,25,Este,web,CAFE PREMIUM,2,15500.0,31000.0,2025/09/07,
1024,30,Este, partner,Café Premium,3,12000.0,36.000,04-05-2025,
1025,18,Bogotá,partner,Café Tradicional ,4,15500.0,62000.0,06-10-2025,
1026,13,Centro,retail,Café Tradicional ,6,9900.0,59400.0,26/09/2025,
1027,4,Norte,partner,cafe tradicional,1,9900.0,9900.0,,
1028,36,Sur,Retail ,Café Tradicional,4,12000.0,48000.0,19-06-2025,
1029,1,Centro,partner,Café Tradicional ,5,9900.0,49.500,2025/04/23,
1030,7,Oeste,web,Café Tradicional,5,12000.0,0,10/04/2025,
